Batch Number,B2600092,,,,,,
Category,Livestock,,,,,,
Specie,Horse,,,,,,
Family,Pleasure,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PHRS250801,,,,,,
Product name,HORSE FEED - SPORT HORSE - 25KG,,,,,,
NIR-Code,D20260216-00112,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2102,2332,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,4778,4172,,,,,
Lamp PD:,93,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1193,0.13522422,1840045.268,1347734.312,1712408,1333325,,
1194,0.1356669,1844119.565,1349342.43,1706809,1335945,,
1195,0.13607626,1849130.737,1351734.381,1700996,1338707,,
1196,0.13645409,1854942.379,1354803.579,1689412,1336604,,
1197,0.13680087,1860791.847,1357991.116,1692108,1345324,,
1198,0.13711474,1864687.659,1359851.089,1690838,1350574,,
1199,0.13739568,1865288.116,1359409.308,1679906,1347739,,
1200,0.13764889,1865879.433,1359047.659,1684971,1356986,,
1201,0.13787863,1871167.224,1362178.338,1683418,1360455,,
1202,0.13807685,1880914.207,1368649.17,1681696,1363278,,
1203,0.13822702,1890270.086,1374981.448,1681413,1366903,,
1204,0.13832039,1895842.142,1378738.109,1675757,1365510,,
1205,0.13836298,1898118.168,1380257.978,1681018,1372345,,
1206,0.13836188,1898402.244,1380468.062,1684670,1377537,,
1207,0.13832122,1899681.683,1381527.756,1681822,1377004,,
1208,0.13824398,1905466.127,1385980.929,1693005,1387369,,
1209,0.13812443,1915322.704,1393533.878,1696561,1391379,,
1210,0.13794728,1924790.274,1400993.536,1699972,1394612,,
1211,0.13770681,1930996.404,1406289.242,1705261,1399222,,
1212,0.13742457,1935579.579,1410543.419,1712344,1405212,,
1213,0.13712247,1940608.918,1415192.608,1717244,1409123,,
1214,0.1367906,1946221.195,1420370.363,1726130,1416161,,
1215,0.13640591,1951752.167,1425669.172,1732612,1421096,,
1216,0.13596145,1957073.491,1431019.947,1738428,1425593,,
1217,0.13546716,1962615.058,1436706.203,1746083,1431154,,
