Batch Number,B2600081,,,,,,
Category,Livestock,,,,,,
Specie,Cattle,,,,,,
Family,Dairy,,,,,,
Brand,FARMFLAKES,,,,,,
Product Code,PFDP010802,,,,,,
Product name,FARHAT FEED - DAIRY PRODUCTION COW,,,,,,
NIR-Code,D20260211-00102,,,,,,
FileTitle:,IAS_Spectrum,,,,,,
Head:,Reference,Sample,,,,,
System Temp hundredths:,2399,2523,,,,,
Detector Temp hundredths:,0,0,,,,,
Humidity hundredths:,4610,4543,,,,,
Lamp PD:,93,92,,,,,
Tec Temp:,0,,,,,,
Product SN:,8B6YK9LO,,,,,,
Serial Number:,5B25203,,,,,,
Scan Config Name:,IAS5100,,,,,,
Scan Config Type:,2,,,,,,
Start wavelength in nm:,900,,,,,,
End wavelength in nm:,1700,,,,,,
Pattern Pixel Width:,11,,,,,,
Exposure Time:,0,,,,,,
Measurement points:,420,,,,,,
Number of Measurement points:,801,,,,,,
Num Repeats:,90,90,,,,,
PGA Gain:,64,64,,,,,
Wavelength,Absorbance,Reference Signal,Sample Signal,Reference Original,Sample Original,,
1172,0.1422115,1757077.873,1266425.094,1901586,1326810,,
1173,0.14291534,1760203.604,1266623.583,1897695,1323662,,
1174,0.14360801,1764101.433,1267405.371,1888175,1317160,,
1175,0.14429701,1768186.114,1268326.205,1866952,1302865,,
1176,0.14497453,1772413.726,1269376.839,1864237,1302340,,
1177,0.14562005,1777163.67,1270888.288,1852729,1296129,,
1178,0.14622811,1782115.245,1272646.159,1840836,1289999,,
1179,0.14682941,1785371.897,1273207.774,1830239,1285330,,
1180,0.14745569,1785406.485,1271397.703,1812378,1276219,,
1181,0.14809568,1784739.482,1269051.218,1807780,1276488,,
1182,0.14871537,1787499.298,1269201.298,1800837,1275396,,
1183,0.14929972,1794219.478,1272259.928,1785647,1268665,,
1184,0.14986367,1801198.696,1275551.365,1785617,1273056,,
1185,0.15042128,1805490.175,1276949.87,1776142,1270530,,
1186,0.15096458,1807468.437,1276750.814,1765775,1267784,,
1187,0.15148166,1808267.822,1275795.588,1757121,1266421,,
1188,0.15198184,1809766.06,1275382.933,1751491,1267396,,
1189,0.15248573,1814262.64,1277069.185,1740706,1264691,,
1190,0.1529926,1822004.359,1281022.663,1735084,1266159,,
1191,0.15347198,1829921.583,1285169.768,1726662,1265573,,
1192,0.15390012,1835397.461,1287745.391,1718002,1264968,,
1193,0.15428115,1839280.859,1289338.359,1711410,1266098,,
1194,0.15462517,1843349.417,1291167.22,1705730,1267832,,
1195,0.15493936,1848336.013,1293723.802,1699998,1269354,,
1196,0.15522928,1854146.269,1296924.539,1688666,1266653,,
1197,0.15549863,1860037.464,1300238.617,1691406,1274094,,
1198,0.15574766,1863991.882,1302255.954,1690016,1278395,,
1199,0.15597473,1864638.753,1302026.948,1679339,1275211,,
1200,0.15616387,1865251.275,1301887.552,1684378,1283518,,
1201,0.15629353,1870528.815,1305181.381,1682816,1286196,,
1202,0.15636672,1880248.299,1311742.169,1681228,1288773,,
